queid,quetext,theid
1,Что такое транзакция?,1
2,Что такое свойства ACID?,1
3,Что такое Согласованность?,1
4,Что такое Атомарность?,1
5,Изоляция - это?,1
6,Долговечность - это?,1
7,Какие аномалии бывают?,1
8,"Что такое ""грязное"" чтение?",1
9,Что такое неповторяющееся чтение?,1
10,Что такое фантомное чтение?,1
11,Какие уровни изоляции бывают?,1
12,Какие аномалии допускаются на уровне Read Uncommited в стандарте ISO?,1
13,Какие аномалии допускаются на уровне Read Commited в стандарте ISO?,1
14,Какие аномалии допускаются на уровне Repeatable Read в стандарте ISO?,1
15,Какие аномалии допускаются на уровне Serializable в стандарте ISO?,1
16,Какие аномалии допускаются на уровне Read Uncommited в реализации PostgreSQL?,1
17,Какие аномалии допускаются на уровне Read Commited в реализации PostgreSQL?,1
18,Какие аномалии допускаются на уровне Repeatable Read в реализации PostgreSQL?,1
19,Какие аномалии допускаются на уровне Serializable в реализации PostgreSQL?,1
20,Поддерживает ли PostgreSQL уровень изоляции Read Uncommitted?,1
21,Какие уровни изоляции поддерживает PostgreSQL?,1
22,"Начиная с какого уровня изоляции перестает действовать аномалия ""грязное"" чтение согласно стандарту ISO?",1
23,Начиная с какого уровня изоляции перестает действовать аномалия неповторяющееся чтение согласно стандарту ISO?,1
24,Начиная с какого уровня изоляции перестает действовать аномалия фантомное чтение согласно стандарту ISO?,1
25,Какой уровень изоляции используется в PostgreSQL по умолчанию?,1
